54, 47, -22, -20, 21, -13
54, 47, -22, -10, 23, 15
54, 47, -22, 4, 10, 30
54, 47, -22, 5, -39, 3
54, 47, -22, -48, 8, -7
-65, 31, -31, -40, 21, -5
-1, -12, 23, 55, 32, -31
-1, -12, 31, 55, 32, -31
4, -11, 2, 55, 32, -31
-40, 34, -10, 55, 32, -31
-40, 34, -11, 55, 33, -31
-50, 59, -21, -14, 46, -23
-56, 33, -23, -44, 42, -31
-58, 76, -24, -48, 60, -31
37, 71, -23, 31, 57, -31
43, 62, -31, 39, 50, -31
43, 62, -31, -4, 49, -31
-26, 66, -16, 0, 52, -31
